종목코드,CMP_KOR,SEC_NM_KOR,BPS,PER,PBR,EPS,DIV,DPS,매출액,영업이익,당기순이익,ROA,ROE,베타,MKT_VAL
365590,하이딥,IT,0.0,0.0,0.0,0.0,0.0,0.0,47.0,-1.0,-51.0,-48.1,-77.0,0.17,70598.0
160980,싸이맥스,IT,14358.0,5.09,0.83,2347.0,3.35,400.0,491.0,61.0,25.0,7.4,10.3,1.46,70494.0
288620,에스퓨얼셀,IT,10202.0,26.5,1.86,715.0,0.53,100.0,114.0,5.0,3.0,0.0,0.1,1.15,70345.0
042510,라온시큐어,IT,805.0,0.0,2.89,0.0,0.0,0.0,107.0,18.0,23.0,6.8,13.0,0.85,69372.0
012340,뉴인텍,IT,925.0,258.75,3.36,12.0,0.0,0.0,197.0,-13.0,-11.0,-3.9,-11.6,1.45,69177.0
371950,풍원정밀,IT,1589.0,85.53,8.56,159.0,0.0,0.0,135.0,13.0,39.0,11.1,18.1,1.12146,68676.0
146320,비씨엔씨,IT,3042.0,19.57,5.21,810.0,0.0,0.0,207.0,34.0,29.0,9.7,17.1,1.0595,68611.0
060230,소니드,IT,4074.0,0.0,1.04,0.0,0.0,0.0,255.0,12.0,-9.0,-2.0,-4.9,0.74,68601.0
089850,유비벨록스,IT,13695.0,7.48,0.99,1817.0,0.0,0.0,1156.0,42.0,165.0,8.5,18.3,1.41,67741.0
117730,티로보틱스,IT,1673.0,0.0,4.05,0.0,0.0,0.0,137.0,-4.0,34.0,10.4,32.7,1.16,67158.0
290550,디케이티,IT,4785.0,18.72,2.08,531.0,0.0,0.0,950.0,52.0,85.0,13.1,32.0,1.39,67092.0
192250,케이사인,IT,974.0,17.74,1.49,82.0,1.03,15.0,102.0,21.0,12.0,3.5,6.3,0.82,66837.0
200470,에이팩트,IT,3930.0,31.5,1.23,153.0,0.0,0.0,114.0,11.0,13.0,3.6,5.8,1.03,66791.0
234300,에스트래픽,IT,1228.0,0.0,2.74,0.0,0.0,0.0,347.0,15.0,27.0,2.4,10.7,1.13,66736.0
031860,엔에스엔,IT,699.0,0.0,1.25,0.0,0.0,0.0,22.0,-15.0,-59.0,-31.8,-41.1,0.52,66351.0
232140,와이아이케이,IT,3447.0,5.61,0.9,553.0,0.0,0.0,671.0,88.0,74.0,9.8,13.3,1.08,66235.0
139670,키네마스터,IT,1761.0,0.0,4.41,0.0,0.0,0.0,59.0,-45.0,-9.0,-19.7,-25.3,1.22,66225.0
158430,아톤,IT,12225.0,93.33,2.29,300.0,0.0,0.0,106.0,22.0,10.0,4.3,8.5,1.05,65826.0
037460,삼지전자,IT,17497.0,4.06,0.46,1994.0,4.94,400.0,7817.0,190.0,123.0,7.1,10.8,1.22,64688.0
347000,센코,IT,4684.0,36.85,2.57,327.0,0.0,0.0,92.0,9.0,6.0,1.0,2.7,1.03,64628.0
332570,와이팜,IT,2314.0,0.0,1.5,0.0,0.0,0.0,124.0,8.0,-50.0,-16.0,-22.1,1.01,64440.0
093640,다믈멀티미디어,IT,2584.0,21.15,1.6,196.0,0.0,0.0,35.0,4.0,-14.0,-2.5,-3.8,0.63,64293.0
069540,라이트론,IT,2142.0,0.0,1.49,0.0,0.0,0.0,193.0,19.0,1.0,-3.9,-5.9,0.55,64116.0
078350,한양디지텍,IT,5630.0,6.02,1.81,1693.0,0.0,0.0,1170.0,144.0,98.0,20.5,39.8,0.9,63752.0
065130,탑엔지니어링,IT,12349.0,0.0,0.45,0.0,0.0,0.0,2585.0,1.0,64.0,0.2,2.4,1.02,63635.0
227950,엔투텍,IT,839.0,0.0,0.96,0.0,0.0,0.0,-246.0,1.0,11.0,3.0,4.3,0.67,63474.0
382800,지앤비에스엔지니어링,IT,7820.0,7.34,1.63,1736.0,0.0,0.0,191.0,43.0,42.0,18.2,22.3,1.05,63259.0
187870,디바이스이엔지,IT,18620.0,3.19,0.78,4526.0,3.11,450.0,244.0,53.0,38.0,10.6,14.6,1.27,63041.0
096040,이트론,IT,132.0,0.0,1.18,0.0,0.0,0.0,241.0,24.0,-34.0,-5.1,-12.0,0.77,63010.0
054920,한컴위드,IT,5512.0,19.13,0.72,208.0,0.0,0.0,102.0,18.0,44.0,5.9,10.1,0.95,62890.0
047560,이스트소프트,IT,6196.0,19.34,1.51,484.0,0.0,0.0,215.0,-12.0,-19.0,-1.5,-0.4,0.65,62825.0
256940,케이피에스,IT,3292.0,0.0,1.52,0.0,0.0,0.0,26.0,-17.0,-15.0,-7.7,-11.0,0.98,62808.0
066310,큐에스아이,IT,7980.0,53.57,1.24,185.0,1.01,100.0,57.0,9.0,29.0,9.0,9.7,1.01,62480.0
297890,HB솔루션,IT,6224.0,27.5,2.25,509.0,0.0,0.0,740.0,165.0,178.0,25.3,38.2,1.41,60861.0
264660,씨앤지하이테크,IT,9458.0,17.57,1.13,609.0,1.4,150.0,194.0,14.0,-14.0,4.1,6.8,1.13,60840.0
330860,네패스아크,IT,16497.0,10.39,1.31,2084.0,0.0,0.0,414.0,87.0,59.0,6.3,12.2,1.03,60670.0
301300,바이브컴퍼니,IT,5853.0,0.0,3.64,0.0,0.0,0.0,88.0,-32.0,-38.0,-15.9,-49.9,1.29,60617.0
036710,심텍홀딩스,IT,4051.0,4.28,0.73,695.0,1.68,50.0,4775.0,1010.0,659.0,21.9,25.3,1.13,60414.0
033170,시그네틱스,IT,1441.0,6.46,0.89,198.0,0.0,0.0,748.0,23.0,17.0,3.9,5.9,1.81,60353.0
045660,에이텍,IT,10832.0,13.34,0.93,757.0,0.99,100.0,230.0,5.0,22.0,8.0,9.3,0.93,60067.0
340930,유일에너테크,IT,4335.0,0.0,3.51,0.0,0.0,0.0,163.0,3.0,63.0,9.6,21.1,1.49,60035.0
285490,노바텍,IT,11348.0,5.01,1.71,3873.0,0.77,150.0,224.0,58.0,19.0,12.1,17.0,0.84,59500.0
079960,동양이엔피,IT,33409.0,5.48,0.37,2253.0,2.43,300.0,1640.0,74.0,46.0,5.6,7.8,1.3,59213.0
093520,매커스,IT,6623.0,3.04,0.95,2076.0,1.9,120.0,503.0,66.0,41.0,9.2,25.1,1.45,59154.0
204270,제이앤티씨,IT,6575.0,0.0,0.7,0.0,0.0,0.0,377.0,-156.0,-146.0,-6.6,-10.1,1.02,58988.0
276040,스코넥,IT,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-13.0,-12.0,-23.6,-31.7,1.47542,58838.0
039290,인포뱅크,IT,7354.0,11.95,1.66,1021.0,0.66,80.0,378.0,1.0,11.0,3.6,5.1,1.72,58337.0
196450,코아시아옵틱스,IT,1831.0,0.0,0.86,0.0,0.0,0.0,1016.0,27.0,12.0,4.7,3.7,0.58,58262.0
054800,아이디스홀딩스,IT,24473.0,22.32,0.46,504.0,1.78,200.0,2339.0,266.0,297.0,9.5,17.7,0.49,58206.0
303030,지니틱스,IT,842.0,0.0,2.65,0.0,0.0,0.0,85.0,-2.0,-1.0,-0.8,-1.1,0.99,57393.0
123010,아이윈플러스,IT,302.0,0.0,1.87,0.0,0.0,0.0,39.0,-5.0,-5.0,-4.2,-6.7,0.78,57381.0
049480,오픈베이스,IT,2253.0,16.22,1.07,148.0,0.63,15.0,492.0,35.0,28.0,5.0,9.4,1.07,57314.0
333620,엔시스,IT,5185.0,25.79,2.37,477.0,0.57,70.0,97.0,15.0,11.0,7.8,10.3,1.1,57131.0
256630,포인트엔지니어링,IT,1374.0,27.11,1.4,71.0,1.04,20.0,128.0,18.0,22.0,6.0,8.0,0.82,56939.0
059120,아진엑스텍,IT,4781.0,20.17,1.93,458.0,1.62,150.0,111.0,6.0,6.0,7.9,9.1,1.36,56749.0
382480,지아이텍,IT,1331.0,25.62,2.64,137.0,0.63,22.0,116.0,22.0,23.0,9.4,11.8,0.5,56639.0
163730,핑거,IT,4903.0,18.43,1.94,515.0,1.05,100.0,245.0,19.0,13.0,3.1,4.3,0.89,56519.0
211270,AP위성,IT,5714.0,87.68,1.52,99.0,0.81,70.0,145.0,2.0,8.0,2.8,3.7,1.02,56293.0
