,Symbol,Name,Sector,Industry,Sales,Revenue,MarCap,PER,PBR,ROA,ROE,Volume,Price,Beta,DIVIDEND,cnn_score,total_score
70,BK,BNY Mellon,Financials,Asset Management & Custody Banks,0.004538389295900735,0.03236395723889939,0.012276803058322584,0.007284069784069783,0.00010713624808859193,0.2759067357512953,0.43359375,0.03287429285101489,0.008462126676203044,0.2780748663101605,0.3251714005876591,0.0,1.410653527801614
71,BA,Boeing,Industrials,Aerospace & Defense,0.10226892213339384,0.05282294940766299,0.035155946479354765,,,0.21761658031088082,0.45327240566037735,0.04438990475538669,0.03410179156826751,0.34491978609625673,,0.5,1.7845482864115807
72,BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,0.023767697691427,0.01529806583217804,0.027634462074002702,0.042980480480480476,0.004599553923621595,0.35233160621761656,0.4498820754716981,0.005462698055351363,0.4610773531972993,0.3155080213903743,,0.0,1.6985420143340495
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,0.0238528584903443,0.006273220905917748,0.0020241184789196415,0.010349635349635348,0.00019722809307218063,0.3173575129533679,0.43410966981132076,0.007524158272928572,0.006985837757777655,0.3502673796791444,0.1665034280117532,0.5,1.8254450478041817
74,BXP,Boston Properties,Real Estate,Office REITs,0.003908199383912717,0.006449903075775569,0.0037762824597118833,0.015765765765765764,0.0004261100776250815,0.3044041450777202,0.43558372641509435,0.004031648647143183,0.018299228325449342,0.2914438502673797,0.43780607247796277,0.0,1.5218949319735406
75,BSX,Boston Scientific,Health Care,Health Care Equipment,0.019816236621664294,0.008150468960657097,0.02251783244494864,0.06464500214500214,0.0007426489924322851,0.3005181347150259,0.4308667452830189,0.017855261446012245,0.00797244260685606,0.21122994652406415,,0.0,1.0843147197396816
76,BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,0.07910518482788834,0.06629496485932183,0.05783695162317984,0.018706206206206204,0.0010202292715709097,0.3471502590673575,0.4414799528301887,0.04091489873035207,0.015054769836426224,0.0962566844919786,0.2908912830558276,0.0,1.454711384800298
77,AVGO,Broadcom Inc.,Information Technology,Semiconductors,0.052773465802659264,0.09851938333907215,0.07672613405025719,0.016820391820391817,0.002244991380401858,0.4417098445595855,0.4595371462264151,0.04900333372595761,0.11922721582041379,0.28342245989304815,0.3173359451518119,0.0,1.9173203117700144
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,0.008540946845013818,0.005250271297479568,0.006293804099519806,0.03121871871871871,0.002442219473474039,0.35233160621761656,0.44921875,0.0008794399500102786,0.03871157608315463,0.2272727272727273,0.16258570029382957,0.0,1.2847457602515444
79,BRO,Brown & Brown,Financials,Insurance Brokers,0.004351035538282675,0.0058756860237376505,0.0056566535610499,0.024202774202774197,0.0008960486203773146,0.3393782383419689,0.43772110849056606,0.003270459930799339,0.013004368560835406,0.19786096256684493,0.059745347698334964,0.0,1.0919626835355714
80,BFB,Brown–Forman,Consumer Staples,Distillers & Vintners,,,,,,,,,,,,,0.0
81,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,0.0437464211174255,0.010881011585732512,0.0038073629737835862,0.009035821535821536,0.0015437359383674383,0.4650259067357513,0.46705483490566035,0.017535233764173104,0.024283987813379718,0.17914438502673796,0.1939275220372184,0.0,1.4159862234340514
82,CDNS,Cadence Design Systems,Information Technology,Application Software,0.004402132017633054,0.007619418575118532,0.01620460302413402,0.05055055055055054,0.004068742512637208,0.49870466321243523,0.44848172169811323,0.027083736185617012,0.03799996622868487,0.29679144385026734,,0.0,1.3919069778551911
83,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,0.01651199762367307,0.010760546469920362,0.002156210663724378,,0.0005162019226086702,0.21632124352331605,0.4014593160377359,0.06767873376618355,0.008729884960427255,0.7245989304812835,,0.0,1.4487330654488728
