종목코드,종목명,SEC_NM_KOR,업종명,시장구분,MKT_VAL,ALL_MKT_VAL,PER,PBR,DIV,매출액,영업이익,당기순이익,ROA,ROE,베타
337930,브랜드엑스코퍼레이션,경기관련소비재,인터넷,KOSDAQ,106609,132591243,27.0,3.1,1.39,574.0,41.0,21.0,6.2,9.7,0.88
066590,우수AMS,경기관련소비재,운송장비·부품,KOSDAQ,106314,132591243,0.0,1.6,0.0,836.0,7.0,-4.0,-0.8,-2.6,1.09
031440,신세계푸드,경기관련소비재,서비스업,KOSPI,101072,132591243,92.95,0.79,1.29,3537.0,85.0,72.0,2.5,7.6,0.59
013720,CBI,경기관련소비재,운송장비·부품,KOSDAQ,99618,132591243,0.0,3.79,0.0,95.0,-3.0,-47.0,-17.0,-32.3,0.37
036030,케이티알파,경기관련소비재,유통,KOSDAQ,99485,132591243,0.0,1.38,0.0,1309.0,39.0,2.0,3.6,6.4,1.1
037710,광주신세계,경기관련소비재,유통업,KOSPI,98344,132591243,4.91,0.35,5.26,485.0,190.0,166.0,7.1,8.0,0.51
013990,아가방컴퍼니,경기관련소비재,유통,KOSDAQ,97832,132591243,10.16,0.9,0.0,433.0,56.0,47.0,4.4,6.1,1.2
036620,감성코퍼레이션,경기관련소비재,유통,KOSDAQ,97245,132591243,405.0,4.34,0.0,256.0,34.0,24.0,18.1,29.4,0.63
068930,디지털대성,경기관련소비재,기타서비스,KOSDAQ,96900,132591243,11.16,1.34,4.06,516.0,81.0,61.0,8.8,14.0,0.41
215360,우리산업,경기관련소비재,운송장비·부품,KOSDAQ,96650,132591243,413.1,1.35,0.75,897.0,-42.0,-11.0,-2.8,-6.3,1.1
200880,서연이화,경기관련소비재,운수장비,KOSPI,96464,132591243,8.53,0.34,1.81,6878.0,308.0,80.0,3.2,7.5,1.05
095720,웅진씽크빅,경기관련소비재,서비스업,KOSPI,96055,132591243,6.61,0.78,5.16,2360.0,98.0,75.0,1.2,2.5,0.59
044340,위닉스,경기관련소비재,일반전기전자,KOSDAQ,95945,132591243,9.71,0.97,4.1,890.0,22.0,26.0,2.3,4.8,0.8
070960,용평리조트,경기관련소비재,서비스업,KOSPI,94264,132591243,21.33,0.48,0.0,269.0,-47.0,-66.0,-1.7,-3.8,0.75
168330,내츄럴엔도텍,경기관련소비재,기타서비스,KOSDAQ,92321,132591243,0.0,3.13,0.0,37.0,-30.0,-29.0,-21.4,-23.4,0.31
056080,유진로봇,경기관련소비재,기계·장비,KOSDAQ,92089,132591243,0.0,4.8,0.0,101.0,10.0,15.0,12.9,18.0,1.22
033530,세종공업,경기관련소비재,운수장비,KOSPI,92076,132591243,0.0,0.4,1.69,4518.0,120.0,205.0,0.8,3.0,1.35
072870,메가스터디,경기관련소비재,출판·매체복제,KOSDAQ,91195,132591243,5.24,0.45,5.33,367.0,68.0,83.0,6.9,7.7,0.56
126560,현대퓨처넷,경기관련소비재,통신업,KOSPI,90703,132591243,3.14,0.38,3.39,437.0,48.0,23.0,1.2,0.3,0.47
244460,올리패스,경기관련소비재,제약,KOSDAQ,90666,132591243,0.0,5.29,0.0,3.0,-70.0,-71.0,-66.8,-104.6,1.21
215100,로보로보,경기관련소비재,디지털컨텐츠,KOSDAQ,90591,132591243,0.0,4.96,0.0,29,1,-,-1.5,-1.5,1.47
068290,삼성출판사,경기관련소비재,서비스업,KOSPI,89265,132591243,85.6,1.43,0.74,130.0,-5.0,23.0,3.4,2.4,0.37
105550,트루윈,경기관련소비재,일반전기전자,KOSDAQ,89095,132591243,0.0,1.7,0.0,90.0,-3.0,-8.0,-4.8,-8.5,0.46
092730,네오팜,경기관련소비재,화학,KOSDAQ,87556,132591243,8.41,1.14,3.67,215.0,49.0,46.0,13.1,14.4,0.89
001460,BYC,경기관련소비재,섬유의복,KOSPI,87337,132591243,11.17,0.69,0.38,433.0,34.0,206.0,7.3,10.3,0.59
037070,파세코,경기관련소비재,일반전기전자,KOSDAQ,87000,132591243,15.67,2.95,2.0,536.0,33.0,1.0,0.7,1.1,0.54
042600,새로닉스,경기관련소비재,IT부품,KOSDAQ,86710,132591243,9.05,2.42,0.0,525.0,-5.0,324.0,49.2,95.7,1.59
114630,폴라리스우노,경기관련소비재,화학,KOSDAQ,86666,132591243,18.47,1.14,0.0,249.0,19.0,40.0,7.0,10.7,0.33
094850,참좋은여행,경기관련소비재,기타서비스,KOSDAQ,86583,132591243,0.0,1.59,0.0,26.0,-53.0,-40.0,-12.8,-14.6,0.76
009810,플레이그램,경기관련소비재,유통업,KOSPI,86380,132591243,0.0,2.01,0.0,155.0,-9.0,164.0,21.9,46.1,0.38
084680,이월드,경기관련소비재,기타제조업,KOSPI,85084,132591243,0.0,1.11,0.0,354.0,56.0,31.0,1.5,2.8,1.1
064800,젬백스링크,경기관련소비재,유통,KOSDAQ,84023,132591243,3.0,0.56,1.57,285.0,-2.0,-66.0,-5.1,-6.5,0.99
