매출액,영업이익,당기순이익,ROA,ROE,베타
1687.0,35.0,40.0,0.4,1.3,0.76
398.0,-7.0,-15.0,-2.2,-7.5,0.36
424.0,-33.0,-30.0,-4.0,-10.8,0.97
407,-,31,3.6,4.6,1.15
966.0,14.0,11.0,1.0,2.8,1.17
1208.0,-56.0,-41.0,-2.3,-3.4,0.52
29.0,6.0,7.0,2.7,3.3,0.76
469.0,-8.0,-7.0,-1.9,-6.7,0.89
154.0,-12.0,-9.0,-1.6,-2.5,1.17
449.0,-5.0,-7.0,0.2,0.3,1.31
134.0,-1.0,5.0,1.0,3.1,1.24
150.0,-6.0,-12.0,-10.8,-20.8,1.0
30.0,6.0,9.0,12.9,15.0,0.48
375.0,-6.0,23.0,-11.9,-36.5,0.87
582.0,34.0,1.0,3.4,7.0,0.93
5381.0,132.0,92.0,2.4,10.9,0.48
1738.0,9.0,-11.0,-2.4,-17.0,1.09
34.0,1.0,1.0,-2.8,-3.3,0.67
67.0,-22.0,-38.0,-30.5,-59.5,0.41
103.0,-12.0,-8.0,-6.0,-15.2,1.4
99.0,58.0,70.0,11.8,13.0,0.72
313.0,52.0,46.0,12.0,16.6,0.77
511.0,8.0,-31.0,-2.2,-8.4,1.26
208.0,-27.0,-21.0,-6.5,-11.6,1.1
549.0,78.0,86.0,12.0,37.3,0.81
70.0,-13.0,-11.0,1.5,2.0,0.93
141.0,-11.0,4.0,-5.7,-16.4,0.43
50.0,-5.0,-9.0,-6.4,-8.2,1.04
222.0,-5.0,34.0,5.4,-1.7,0.72
447.0,5.0,7.0,-1.1,-2.0,1.0
18.0,-6.0,-12.0,-12.1,-22.2,0.98
370.0,9.0,-11.0,11.4,63.0,1.25
206.0,7.0,25.0,7.0,29.9,1.13
420.0,5.0,41.0,3.5,4.8,0.83
215.0,19.0,16.0,3.5,7.2,1.0
382.0,7.0,6.0,1.0,2.4,0.94
348.0,-1.0,-2.0,2.3,5.4,0.0
40.0,-6.0,-25.0,-17.7,-31.3,0.0
5961.0,1990.0,1840.0,10.8,15.4,1.2
6514.0,1697.0,1520.0,5.1,8.9,0.69
5190.0,741.0,391.0,4.1,7.9,1.43
578.0,-136.0,12.0,-4.9,-4.2,1.06
4830.0,169.0,329.0,4.0,5.2,0.91
3171.0,316.0,227.0,4.9,9.3,0.81
1383.0,612.0,461.0,7.0,9.0,0.08
57.0,-93.0,-59.0,-0.1,0.3,1.51
2654.0,564.0,306.0,10.3,53.4,0.75
1054.0,109.0,75.0,3.8,7.0,1.45
534.0,-401.0,-454.0,-25.7,-39.3,0.96
50.0,-31.0,-54.0,-22.1,-30.8,0.74
7950.0,3481.0,3386.0,48.6,63.7,0.13
159.0,-48.0,66.0,-2.4,-3.0,1.07
1284.0,130.0,251.0,25.5,33.5,1.16
2541.0,158.0,140.0,6.6,8.9,0.99
117.0,-68.0,-78.0,-11.4,-13.0,1.12
511.0,35.0,34.0,2.2,3.3,1.34
4232.0,131.0,109.0,2.3,3.0,1.17
674.0,223.0,154.0,6.2,7.7,0.79
504.0,-34.0,-46.0,-5.1,-5.7,1.37
3221.0,300.0,162.0,4.0,10.5,1.0
144.0,-94.0,-110.0,-12.4,-15.2,0.93
161.0,-21.0,21.0,-12.1,-22.8,1.32
2117.0,-56.0,-3.0,-1.0,-2.7,0.98
3660.0,269.0,225.0,7.5,14.1,1.02
,-15.0,-13.0,-20.4,-21.1,0.98
24.0,-133.0,-176.0,-32.8,-52.5,1.24
526,-,12,7.8,9.0,1.0
6.0,-92.0,-155.0,0.3,0.5,1.19
262.0,7.0,-1.0,-0.2,-0.2,0.75
498.0,104.0,193.0,7.9,11.3,1.01
967.0,352.0,362.0,17.3,32.5,0.88
5.0,-129.0,-83.0,-15.6,-20.5,1.08
146.0,6.0,10.0,0.4,3.0,0.92
4221.0,593.0,401.0,7.0,14.6,1.05
1148.0,698.0,628.0,102.1,150.2,1.11
71.0,-34.0,-140.0,-31.7,-46.4,1.76
15.0,-67.0,-65.0,-51.3,-71.9,1.08
429.0,-6.0,-13.0,-2.0,-1.9,0.98
472.0,30.0,15.0,2.6,3.4,1.13
7.0,-84.0,-90.0,-33.0,-54.2,1.0
557.0,50.0,31.0,8.2,10.7,1.07
1699.0,200.0,161.0,8.6,13.6,0.68
1625.0,-223.0,502.0,-19.8,-70.5,0.48
2519.0,177.0,135.0,2.3,3.6,0.41
5171.0,99.0,-30.0,0.5,-1.6,1.15
404.0,81.0,55.0,5.3,8.1,1.59
618.0,73.0,23.0,6.9,11.1,0.91
