종목코드,종목명,SEC_NM_KOR,업종명,시장구분,MKT_VAL,ALL_MKT_VAL,PER,PBR,DIV
113810,디젠스,경기관련소비재,운송장비·부품,KOSDAQ,35917,132591243,14.96,3.32,0.0
071460,위니아,경기관련소비재,일반전기전자,KOSDAQ,35877,132591243,12.84,1.06,0.0
065500,오리엔트정공,경기관련소비재,운송장비·부품,KOSDAQ,35597,132591243,0.0,1.31,0.0
133750,메가엠디,경기관련소비재,기타서비스,KOSDAQ,35530,132591243,11.73,1.17,4.25
047770,코데즈컴바인,경기관련소비재,섬유·의류,KOSDAQ,35345,132591243,13.34,1.69,0.0
256150,한독크린텍,경기관련소비재,기계·장비,KOSDAQ,35304,132591243,17.19,1.56,2.04
093240,형지엘리트,경기관련소비재,섬유의복,KOSPI,35161,132591243,0.0,0.88,0.0
032940,원익,경기관련소비재,유통,KOSDAQ,35051,132591243,2.37,0.31,0.0
019180,티에이치엔,경기관련소비재,전기전자,KOSPI,34474,132591243,3.52,0.7,1.49
007530,영신금속,경기관련소비재,금속,KOSDAQ,34443,132591243,87.24,1.22,0.0
053290,NE능률,경기관련소비재,출판·매체복제,KOSDAQ,34110,132591243,19.69,1.05,1.16
003350,한국화장품제조,경기관련소비재,화학,KOSPI,34099,132591243,0.0,1.92,0.0
085910,네오티스,경기관련소비재,운송장비·부품,KOSDAQ,33992,132591243,10.52,1.26,4.78
054300,팬스타엔터프라이즈,경기관련소비재,기계·장비,KOSDAQ,33962,132591243,17.73,0.91,0.0
075180,새론오토모티브,경기관련소비재,운수장비,KOSPI,33936,132591243,6.92,0.41,2.77
252500,세화피앤씨,경기관련소비재,화학,KOSDAQ,33542,132591243,10.29,1.4,1.22
214420,토니모리,경기관련소비재,화학,KOSPI,33523,132591243,0.0,1.14,0.0
111110,호전실업,경기관련소비재,섬유의복,KOSPI,33179,132591243,5.47,0.62,3.01
069640,한세엠케이,경기관련소비재,유통업,KOSPI,32771,132591243,0.0,0.72,0.0
090080,평화산업,경기관련소비재,운수장비,KOSPI,31898,132591243,415.0,3.51,0.0
026040,제이에스티나,경기관련소비재,기타제조,KOSDAQ,31872,132591243,2.45,0.88,3.68
100220,비상교육,경기관련소비재,서비스업,KOSPI,31680,132591243,12.65,0.38,3.52
000040,KR모터스,경기관련소비재,운수장비,KOSPI,31562,132591243,0.0,1.74,0.0
