종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"317400","자이에스앤디","KOSPI","서비스업","7650","-100","-1.29","296686278000"
"033240","자화전자","KOSPI","전기전자","28200","-300","-1.05","557984319600"
"000950","전방","KOSPI","섬유의복","65400","400","0.62","109872000000"
"348950","제이알글로벌리츠","KOSPI","서비스업","4560","-60","-1.30","900034560000"
"194370","제이에스코퍼레이션","KOSPI","기타제조업","16900","100","0.60","225371656900"
"025620","제이준코스메틱","KOSPI","화학","854","-8","-0.93","65743288996"
"030000","제일기획","KOSPI","서비스업","21600","50","0.23","2484890460000"
"271980","제일약품","KOSPI","의약품","20600","-350","-1.67","302920363200"
"001560","제일연마","KOSPI","비금속광물","8630","80","0.94","86300000000"
"002620","제일파마홀딩스","KOSPI","서비스업","12250","-200","-1.61","195673598750"
"006220","제주은행","KOSPI","은행","6200","160","2.65","199198398800"
"089590","제주항공","KOSPI","운수창고업","15950","50","0.31","793666704600"
"004910","조광페인트","KOSPI","화학","8450","270","3.30","108160000000"
"004700","조광피혁","KOSPI","기타제조업","45100","150","0.33","299876123800"
"001550","조비","KOSPI","화학","20900","1200","6.09","108517795100"
"000480","조선내화","KOSPI","비금속광물","77700","-100","-0.13","310800000000"
"120030","조선선재","KOSPI","기계","133500","-3500","-2.55","167896408500"
"018470","조일알미늄","KOSPI","철강금속","2205","50","2.32","277458944805"
"002600","조흥","KOSPI","음식료품","179000","2000","1.13","107400000000"
"185750","종근당","KOSPI","의약품","85500","1100","1.30","1024977249000"
"063160","종근당바이오","KOSPI","의약품","27650","-200","-0.72","151686849300"
"001630","종근당홀딩스","KOSPI","의약품","58900","0","0.00","295080812900"
"044380","주연테크","KOSPI","전기전자","800","-11","-1.36","47359395200"
"013890","지누스","KOSPI","기타제조업","40050","-600","-1.48","690158861550"
"013870","지엠비코리아","KOSPI","운수장비","5480","10","0.18","104516094400"
"071320","지역난방공사","KOSPI","전기가스업","31550","50","0.16","365309373200"
"035000","지투알","KOSPI","서비스업","5940","20","0.34","98410409460"
"088790","진도","KOSPI","유통업","2675","-70","-2.55","33297715200"
"003780","진양산업","KOSPI","화학","6570","-70","-1.05","85410000000"
"010640","진양폴리","KOSPI","화학","5500","-120","-2.14","55000000000"
"100250","진양홀딩스","KOSPI","화학","3365","15","0.45","188087657580"
"051630","진양화학","KOSPI","화학","3630","-50","-1.36","57354000000"
"272450","진에어","KOSPI","운수창고업","16850","-600","-3.44","879570000000"
"011000","진원생명과학","KOSPI","의약품","10450","-200","-1.88","812504209550"
"002780","진흥기업","KOSPI","건설업","1585","0","0.00","230572715825"
"002787","진흥기업2우B","KOSPI","건설업","14500","150","1.05","4274716000"
"002785","진흥기업우B","KOSPI","건설업","5330","70","1.33","4568971940"
"009310","참엔지니어링","KOSPI","기계","988","16","1.65","58161009972"
"000650","천일고속","KOSPI","운수창고업","65400","-600","-0.91","93470988000"
"033250","체시스","KOSPI","운수장비","1060","5","0.47","33920000000"
"118000","초록뱀헬스케어","KOSPI","유통업","814","-1","-0.12","68949857790"
"035720","카카오","KOSPI","서비스업","70200","-1200","-1.68","31249503745200"
"323410","카카오뱅크","KOSPI","은행","25850","-250","-0.96","12320664146450"
"377300","카카오페이","KOSPI","기타금융","58200","-1000","-1.69","7716832924200"
"006380","카프로","KOSPI","화학","2675","10","0.38","107000000000"
"109070","컨버즈","KOSPI","전기전자","4100","0","0.00","150921943000"
"001620","케이비아이동국실업","KOSPI","운수장비","606","-18","-2.88","52895318424"
"029460","케이씨","KOSPI","의료정밀","17550","-50","-0.28","237873472200"
"281820","케이씨텍","KOSPI","의료정밀","16000","-50","-0.31","333784896000"
"381970","케이카","KOSPI","유통업","20150","-400","-1.95","968943639950"
"145270","케이탑리츠","KOSPI","서비스업","1030","-10","-0.96","49502597220"
"417310","코람코더원리츠","KOSPI","서비스업","5350","0","0.00","216140000000"
"357120","코람코에너지리츠","KOSPI","서비스업","5270","-20","-0.38","466576677980"
"007815","코리아써우","KOSPI","전기전자","7840","-170","-2.12","23243169600"
"007810","코리아써키트","KOSPI","전기전자","18600","-500","-2.62","439345968600"
